Starred,Model ID,Feature List ID,Feature List,Model Features,Sample Size,Prediction Threshold,Modeling Results,Model Type,Reference Model,Prediction Threshold Locked,Insights,DataRobot Prime,Sample %,Holdout Size,Predicted Ram Usage,Total Prediction API Requirements,Uses GPU,Monotonic Constraints,Monotonic Feature List,Smart Sampling,Smart Sample Size
False,6417f79074becafa6bce9ade,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance)",34615,0.5,"AUC: [0.53612], Area Under PR Curve: [0.51224], FVE Binomial: [0.00281], Gini Norm: [0.07224], Kolmogorov-Smirnov: [0.07606], LogLoss: [0.69116], Max MCC: [0.09205], RMSE: [0.49899], Rate@Top10%: [0.48411], Rate@Top5%: [0.45118], Rate@TopTenth%: [0.28571], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance),False,False,NA,False,15.999908,43269,,0,False,False,,,
False,6417fab0f3f3e7c68c4d190b,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance)",69230,0.5,"AUC: [0.543], Area Under PR Curve: [0.52143], FVE Binomial: [0.00268], Gini Norm: [0.086], Kolmogorov-Smirnov: [0.0842], LogLoss: [0.69125], Max MCC: [0.08421], RMSE: [0.49905], Rate@Top10%: [0.50058], Rate@Top5%: [0.50202], Rate@TopTenth%: [0.28571], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance),False,False,NA,False,31.999816,43269,,0,False,False,,,
False,6417f79074becafa6bce9ae4,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance)",34615,0.5,"AUC: [0.53612], Area Under PR Curve: [0.51224], FVE Binomial: [0.00281], Gini Norm: [0.07224], Kolmogorov-Smirnov: [0.07606], LogLoss: [0.69116], Max MCC: [0.09205], RMSE: [0.49899], Rate@Top10%: [0.48411], Rate@Top5%: [0.45118], Rate@TopTenth%: [0.28571], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance),False,False,NA,False,15.999908,43269,,0,False,False,,,
False,6417fab0f3f3e7c68c4d190c,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance)",69230,0.5,"AUC: [0.543], Area Under PR Curve: [0.52143], FVE Binomial: [0.00268], Gini Norm: [0.086], Kolmogorov-Smirnov: [0.0842], LogLoss: [0.69125], Max MCC: [0.08421], RMSE: [0.49905], Rate@Top10%: [0.50058], Rate@Top5%: [0.50202], Rate@TopTenth%: [0.28571], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance),False,False,NA,False,31.999816,43269,,0,False,False,,,
False,6418051863312c48e4eee830,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Light Gradient Boosted Trees Classifier with Early Stopping",216345,0.5,"AUC: [0.9822, 0.983634], Area Under PR Curve: [0.98797, 0.988874], FVE Binomial: [0.8527, 0.85907], Gini Norm: [0.9644, 0.967268], Kolmogorov-Smirnov: [0.94959, 0.9515840000000001], LogLoss: [0.1021, 0.09767999999999999], Max MCC: [0.95034, 0.9522580000000002], RMSE: [0.15678, 0.15348], Rate@Top10%: [1.0, 1.0], Rate@Top5%: [1.0, 1.0], Rate@TopTenth%: [1.0, 1.0], labels: ['(0,-1)', '(.,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosted Trees Classifier with Early Stopping,False,False,NA,False,100.0,43269,,0,False,False,,,
False,6417f79074becafa6bce9ae1,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (L2 / Binomial Deviance), Light Gradient Boosting on ElasticNet Predictions ",34615,0.5,"AUC: [0.9795], Area Under PR Curve: [0.98629], FVE Binomial: [0.82875], Gini Norm: [0.959], Kolmogorov-Smirnov: [0.9371], LogLoss: [0.11869], Max MCC: [0.93834], RMSE: [0.17201], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,15.999908,43269,,0,False,False,,,
False,6417faaff3f3e7c68c4d18fd,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (L2 / Binomial Deviance), Light Gradient Boosting on ElasticNet Predictions ",69230,0.5,"AUC: [0.97948], Area Under PR Curve: [0.98645], FVE Binomial: [0.81193], Gini Norm: [0.95896], Kolmogorov-Smirnov: [0.93902], LogLoss: [0.13035], Max MCC: [0.94005], RMSE: [0.17964], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,31.999816,43269,,0,False,False,,,
False,6417fe6ccbdcdfcc844a8e81,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (L2 / Binomial Deviance), Light Gradient Boosting on ElasticNet Predictions ",138460,0.5,"AUC: [0.98192], Area Under PR Curve: [0.98777], FVE Binomial: [0.84949], Gini Norm: [0.96384], Kolmogorov-Smirnov: [0.9473], LogLoss: [0.10432], Max MCC: [0.94811], RMSE: [0.16134], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,63.999631,43269,,0,False,False,,,
False,6417f79074becafa6bce9ad9,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Standardize, Logistic Regression",34615,0.5,"AUC: [0.5353], Area Under PR Curve: [0.51153], FVE Binomial: [0.00265], Gini Norm: [0.0706], Kolmogorov-Smirnov: [0.07509], LogLoss: [0.69127], Max MCC: [0.09285], RMSE: [0.49905], Rate@Top10%: [0.48411], Rate@Top5%: [0.45118], Rate@TopTenth%: [0.22857], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Logistic Regression,True,False,NA,False,15.999908,43269,,0,False,False,,,
False,6417f79074becafa6bce9ae5,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features",34615,0.5,"AUC: [0.96206], Area Under PR Curve: [0.97596], FVE Binomial: [0.73554], Gini Norm: [0.92412], Kolmogorov-Smirnov: [0.9127], LogLoss: [0.1833], Max MCC: [0.91535], RMSE: [0.21731], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features,False,False,NA,False,15.999908,43269,,0,False,False,,,
False,6417faaff3f3e7c68c4d1901,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features",69230,0.5,"AUC: [0.9628], Area Under PR Curve: [0.97652], FVE Binomial: [0.77971], Gini Norm: [0.9256], Kolmogorov-Smirnov: [0.91501], LogLoss: [0.15268], Max MCC: [0.91761], RMSE: [0.19996], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features,False,False,NA,False,31.999816,43269,,0,False,False,,,
False,6417fe6ccbdcdfcc844a8e83,6417f5c54d9746edaef5f8cb,Informative Features,"Missing Values Imputed, Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features",138460,0.5,"AUC: [0.96253], Area Under PR Curve: [0.97639], FVE Binomial: [0.77663], Gini Norm: [0.92506], Kolmogorov-Smirnov: [0.91484], LogLoss: [0.15482], Max MCC: [0.91746], RMSE: [0.20125], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features,False,False,NA,False,63.999631,43269,,0,False,False,,,
