Starred,Model ID,Feature List ID,Feature List,Model Features,Sample Size,Prediction Threshold,Modeling Results,Model Type,Reference Model,Prediction Threshold Locked,Insights,DataRobot Prime,Sample %,Holdout Size,Predicted Ram Usage,Total Prediction API Requirements,Uses GPU,Monotonic Constraints,Monotonic Feature List,Smart Sampling,Smart Sample Size
False,6417fcf998303423e126135c,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance)",34537,0.5,"AUC: [0.53723], Area Under PR Curve: [0.51506], FVE Binomial: [0.00284], Gini Norm: [0.07446], Kolmogorov-Smirnov: [0.06456], LogLoss: [0.69114], Max MCC: [0.08458], RMSE: [0.499], Rate@Top10%: [0.52287], Rate@Top5%: [0.39664], Rate@TopTenth%: [0.11429], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance),False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf55,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance)",69074,0.5,"AUC: [0.53783], Area Under PR Curve: [0.51594], FVE Binomial: [0.00325], Gini Norm: [0.07566], Kolmogorov-Smirnov: [0.0734], LogLoss: [0.69086], Max MCC: [0.08512], RMSE: [0.49886], Rate@Top10%: [0.49508], Rate@Top5%: [0.48408], Rate@TopTenth%: [0.14286], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance),False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6417fcf998303423e1261362,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance)",34537,0.5,"AUC: [0.53723], Area Under PR Curve: [0.51506], FVE Binomial: [0.00284], Gini Norm: [0.07446], Kolmogorov-Smirnov: [0.06456], LogLoss: [0.69114], Max MCC: [0.08458], RMSE: [0.499], Rate@Top10%: [0.52287], Rate@Top5%: [0.39664], Rate@TopTenth%: [0.11429], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance),False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf56,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance)",69074,0.5,"AUC: [0.53783], Area Under PR Curve: [0.51594], FVE Binomial: [0.00325], Gini Norm: [0.07566], Kolmogorov-Smirnov: [0.0734], LogLoss: [0.69086], Max MCC: [0.08512], RMSE: [0.49886], Rate@Top10%: [0.49508], Rate@Top5%: [0.48408], Rate@TopTenth%: [0.14286], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (mixing alpha=0.5 / Binomial Deviance),False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6417fcf998303423e126135f,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (L2 / Binomial Deviance), Light Gradient Boosting on ElasticNet Predictions ",34537,0.5,"AUC: [0.96637], Area Under PR Curve: [0.97868], FVE Binomial: [0.72888], Gini Norm: [0.93274], Kolmogorov-Smirnov: [0.91878], LogLoss: [0.18791], Max MCC: [0.92098], RMSE: [0.21342], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf48,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (L2 / Binomial Deviance), Light Gradient Boosting on ElasticNet Predictions ",69074,0.5,"AUC: [0.9675], Area Under PR Curve: [0.97969], FVE Binomial: [0.79397], Gini Norm: [0.935], Kolmogorov-Smirnov: [0.92393], LogLoss: [0.1428], Max MCC: [0.92572], RMSE: [0.19265], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6418041350b38c4df333b618,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Classifier (L2 / Binomial Deviance), Light Gradient Boosting on ElasticNet Predictions ",138148,0.5,"AUC: [0.96889], Area Under PR Curve: [0.98069], FVE Binomial: [0.80969], Gini Norm: [0.93778], Kolmogorov-Smirnov: [0.9328], LogLoss: [0.13191], Max MCC: [0.9343], RMSE: [0.18259], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,63.999482,43172,,0,False,False,,,
False,6417fcf998303423e1261357,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Standardize, Logistic Regression",34537,0.5,"AUC: [0.53574], Area Under PR Curve: [0.51117], FVE Binomial: [0.00245], Gini Norm: [0.07148], Kolmogorov-Smirnov: [0.08202], LogLoss: [0.69141], Max MCC: [0.09211], RMSE: [0.49913], Rate@Top10%: [0.49334], Rate@Top5%: [0.40243], Rate@TopTenth%: [0.14286], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Logistic Regression,True,False,NA,False,15.999871,43172,,0,False,False,,,
False,6417fcf998303423e1261363,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features",34537,0.5,"AUC: [0.9631], Area Under PR Curve: [0.9765], FVE Binomial: [0.77796], Gini Norm: [0.9262], Kolmogorov-Smirnov: [0.91409], LogLoss: [0.1539], Max MCC: [0.91673], RMSE: [0.20095], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features,False,False,NA,False,15.999871,43172,,0,False,False,,,
False,6418000458cbf04cd2cdaf4b,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features",69074,0.5,"AUC: [0.964], Area Under PR Curve: [0.97716], FVE Binomial: [0.78462], Gini Norm: [0.928], Kolmogorov-Smirnov: [0.91593], LogLoss: [0.14928], Max MCC: [0.91848], RMSE: [0.19795], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features,False,False,NA,False,31.999741,43172,,0,False,False,,,
False,6418041350b38c4df333b61c,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features",138148,0.5,"AUC: [0.96381], Area Under PR Curve: [0.97696], FVE Binomial: [0.78608], Gini Norm: [0.92762], Kolmogorov-Smirnov: [0.9153], LogLoss: [0.14827], Max MCC: [0.9179], RMSE: [0.19797], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Elastic-Net Classifier (L2 / Binomial Deviance) with Binned numeric features,False,False,NA,False,63.999482,43172,,0,False,False,,,
False,6417fcf998303423e1261355,6417f82594c7bf6813a168aa,Informative Features,"Missing Values Imputed, Smooth Ridit Transform, Keras Slim Residual Neural Network Classifier using Training Schedule (1 Layer: 64 Units)",34537,0.5,"AUC: [0.95154], Area Under PR Curve: [0.96881], FVE Binomial: [0.66111], Gini Norm: [0.90308], Kolmogorov-Smirnov: [0.87434], LogLoss: [0.23489], Max MCC: [0.87948], RMSE: [0.25114], Rate@Top10%: [1.0], Rate@Top5%: [1.0], Rate@TopTenth%: [1.0], labels: ['(0,-1)'], metrics: ['AUC', 'Area Under PR Curve', 'FVE Binomial', 'Gini Norm', 'Kolmogorov-Smirnov', 'LogLoss', 'Max MCC', 'RMSE', 'Rate@Top10%', 'Rate@Top5%', 'Rate@TopTenth%']",Keras Slim Residual Neural Network Classifier using Training Schedule (1 Layer: 64 Units),False,False,NA,False,15.999871,43172,,0,False,False,,,
